measure,id,date,TTFB,adult_site,aft,avgRun,bytesIn,bytesInDoc,bytesOut,bytesOutDoc,cached,connections,date,docCPUms,docCPUpct,docTime,domContentLoadedEventEnd,domContentLoadedEventStart,domElements,domTime,effectiveBps,effectiveBpsDoc,firstPaint,fixed_viewport,fullyLoaded,fullyLoadedCPUms,fullyLoadedCPUpct,gzip_savings,gzip_total,image_savings,image_total,isResponsive,lastVisualChange,loadEventEnd,loadEventStart,loadTime,minify_savings,minify_total,optimization_checked,pageSpeedVersion,render,requestsDoc,requestsFull,responses_200,responses_404,responses_other,result,run,score_cache,score_cdn,score_combine,score_compress,score_cookies,score_etags,score_gzip,score_keep-alive,score_minify,score_progressive_jpeg,server_count,server_rtt,titleTime
average,151115_0_4ZY,1447583911,678.33333333333,0,0,2,397277.66666667,355147.33333333,10470.333333333,7306,0,9,1447583889.6667,2593.75,100,2545,0,0,284,0,148989.66666667,194018.33333333,0,-1,3817.3333333333,4885.4166666667,81.333333333333,0,346184.66666667,0,47210,-1,3472,0,0,2545,0,252985,1,1.12,1366.3333333333,11,14,12,0,1,0,2,58,100,100,100,28,100,100,100,100,-1,1,28.666666666667,1488,
standardDeviation,151115_0_4ZY,1447583911,156,0,0,null,212,57675,5,1622,0,0,10,381,0,386,0,0,0,0,57574,43822,0,0,1205,1454,8,0,212,0,0,0,756,0,0,386,0,0,0,0,285,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,327,
median,151115_0_4ZY,1447583911,517,0,0,null,397195,273597,10470,5033,0,9,1447583889,2406.25,100,2355,0,0,284,0,82048,148855,0,-1,5358,6687.5,90,0,346102,0,47210,-1,4395,0,0,2355,0,252985,1,"1.12",1744,8,14,12,0,1,0,2,58,100,100,100,28,100,100,100,100,-1,1,27,1921,
average,151101_0_4YP,1446374152,537.66666666667,0,0,3,378427,332393.66666667,10992.333333333,7692,0,8.6666666666667,1446388530.6667,2093.75,100,1896.6666666667,0,0,287,0,182779.66666667,249123.33333333,0,-1,2673,3750,76.666666666667,0,328533.66666667,0,46021,-1,2544.3333333333,0,0,1896.6666666667,0,264334.33333333,1,1.12,851,11.666666666667,15,13,0,1,0,2,65,100,100,100,26,100,100,100,100,-1,5,29.666666666667,948.66666666667,
standardDeviation,151101_0_4YP,1446374152,175,0,0,null,108,63105,11,1946,0,0,10,256,0,188,0,0,0,0,30347,21070,0,0,567,441,0,0,110,0,0,0,390,0,0,188,0,43,0,0,207,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,256,
median,151101_0_4YP,1446374152,400,0,0,null,378528,376059,10983,8783,0,9,1446388543,1953.125,100,1853,0,0,287,0,212536,258815,0,-1,2181,3328.125,77,0,328636,0,46021,-1,2165,0,0,1853,0,264330,1,"1.12",589,13,15,13,0,1,0,3,65,100,100,100,26,100,100,100,100,-1,5,29,659,
average,151015_0_4WV,1444905596,1055.3333333333,0,0,2,376279,256693.66666667,10907,5005,0,8.3333333333333,1444905573.3333,2322.9166666667,100,2018,0,0,282,0,141588.66666667,278588.33333333,0,-1,4105.6666666667,4484.375,69,0,326483.66666667,0,45823,-1,3165.3333333333,0,0,2018,0,262523,1,1.12,1628,8.3333333333333,15.333333333333,13,0,1.3333333333333,0,2,61,100,100,100,26.666666666667,100,100,100,100,-1,5,30,1755,
standardDeviation,151015_0_4WV,1444905596,315,0,0,null,275,23377,359,240,0,0,8,658,0,479,0,0,0,0,48475,58706,0,0,1470,1302,6,0,142,0,0,0,685,0,0,479,0,38,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,551,
median,151015_0_4WV,1444905596,1125,0,0,null,375994,240096,10660,4835,0,9,1444905573,2390.625,100,2322,0,0,282,0,144668,200581,0,-1,3724,4546.875,78,0,326302,0,45823,-1,3442,0,0,2322,0,262503,1,"1.12",1979,8,15,13,0,1,0,2,61,100,100,100,26,100,100,100,100,-1,5,27,2289,
average,151001_0_4WH,1443699410,948.66666666667,0,0,1,367343.33333333,293232.33333333,9973,5756,0,7.3333333333333,1443699389,2369.7916666667,100,2262.3333333333,0,0,276,0,145977.66666667,226771.33333333,0,-1,3527,4770.8333333333,85,0,318406.33333333,0,45492,-1,3432,0,0,2262.3333333333,0,259895.66666667,1,1.12,1475.6666666667,9.3333333333333,14,12,0,1,0,2,66,100,100,100,28,100,100,100,100,-1,5,29.666666666667,1688.6666666667,
