measure,id,date,TTFB,adult_site,aft,avgRun,bytesIn,bytesInDoc,bytesOut,bytesOutDoc,cached,connections,date,docCPUms,docCPUpct,docTime,domContentLoadedEventEnd,domContentLoadedEventStart,domElements,domTime,effectiveBps,effectiveBpsDoc,firstPaint,fixed_viewport,fullyLoaded,fullyLoadedCPUms,fullyLoadedCPUpct,gzip_savings,gzip_total,image_savings,image_total,isResponsive,lastVisualChange,loadEventEnd,loadEventStart,loadTime,minify_savings,minify_total,optimization_checked,pageSpeedVersion,render,requestsDoc,requestsFull,responses_200,responses_404,responses_other,result,run,score_cache,score_cdn,score_combine,score_compress,score_cookies,score_etags,score_gzip,score_keep-alive,score_minify,score_progressive_jpeg,server_count,server_rtt,titleTime
standardDeviation,150201_0_4C8,1422786303,217,0,0,null,141,30,363,5,0,0,10,400,0,319,0,0,0,0,20173,23920,0,0,637,313,8,0,30,0,0,0,651,0,0,319,0,40,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,
median,150201_0_4C8,1422786303,1080,0,0,null,430658,413625,12997,10413,0,8,1422786290,3625,100,3236,0,0,292,0,112092,191848,0,-1,4922,4625,63,0,324023,0,103299,-1,6981,0,0,3236,0,285523,1,"1.12",1510,16,19,16,0,2,0,3,81,100,100,100,23,100,100,100,100,-1,5,28,1545,
average,150115_0_4AK,1421317524,1001,0,0,1,361029,273838.5,9423,5721.5,0,7,1421317476.5,3929.6875,100,3797.5,0,0,275,0,107922.5,133577,0,-1,4742,5281.25,75.5,0,312175,0,46843,-1,4497,0,0,3797.5,0,274563,1,1.12,1664,9.5,14,12,0,1,0,2,66,100,100,100,28,100,100,100,100,-1,5,27.5,1887,
standardDeviation,150115_0_4AK,1421317524,290,0,0,null,47,20985,0,1094,0,0,39,1789,0,1815,0,0,0,0,35096,65363,0,0,1507,1421,4,0,47,0,0,0,1618,0,0,1815,0,26,0,0,343,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,312,
median,150115_0_4AK,1421317524,711,0,0,null,360982,252853,9423,4627,0,7,1421317516,2140.625,100,1982,0,0,275,0,143019,198940,0,-1,3235,3859.375,71,0,312128,0,46843,-1,2879,0,0,1982,0,274537,1,"1.12",1321,8,14,12,0,1,0,3,66,100,100,100,28,100,100,100,100,-1,5,27,1575,
average,150101_0_49X,1420108002,1066.5,0,0,1,644490,549841,10162.5,7344,0,8.5,1420107946.5,3414.0625,100,3267.5,0,0,288,0,184756,251634.5,0,-1,4648.5,6445.3125,93.5,0,316243,0,325861,-1,6715,0,0,3267.5,0,275399,1,1.12,1709,11.5,15,13,0,1,0,2,76,100,100,100,26,100,100,100,100,-1,5,29,2032,
standardDeviation,150101_0_49X,1420108002,165,0,0,null,98,28485,1,244,0,0,39,289,0,304,0,0,0,0,29892,28833,0,0,744,1117,6,0,98,0,0,0,741,0,0,304,0,49,0,0,107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,368,
median,150101_0_49X,1420108002,901,0,0,null,644588,578326,10164,7588,0,8,1420107907,3125,100,2963,0,0,288,0,214648,280468,0,-1,3904,5328.125,87,0,316341,0,325861,-1,5974,0,0,2963,0,275350,1,"1.12",1602,12,15,13,0,1,0,1,76,100,100,100,26,100,100,100,100,-1,5,29,1664,
average,141215_0_4A7,1418639164,1071,0,0,1,367999,318225.66666667,9420,7111.3333333333,0,7,1418639142,3791.6666666667,100,3698.6666666667,0,0,272,0,101208.66666667,121086,0,-1,4843.6666666667,6020.8333333333,86.333333333333,0,319143,0,46843,-1,3928,0,0,3698.6666666667,0,281532,1,1.12,1891,11.333333333333,14,12,0,1,0,2,66,100,100,100,28,100,100,100,100,-1,5,29.666666666667,2045.3333333333,
standardDeviation,141215_0_4A7,1418639164,101,0,0,null,154,23471,13,373,0,0,10,209,0,189,0,0,0,0,19387,7152,0,0,659,828,5,0,154,0,0,0,33,0,0,189,0,77,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,136,
median,141215_0_4A7,1418639164,1038,0,0,null,367881,301620,9407,6847,0,7,1418639129,3890.625,100,3725,0,0,272,0,78523,112251,0,-1,5723,6890.625,87,0,319025,0,46843,-1,3973,0,0,3725,0,281508,1,"1.12",1773,11,14,12,0,1,0,1,66,100,100,100,28,100,100,100,100,-1,5,30,1911,
average,141201_0_4AA,1417429494,548.66666666667,0,0,2,363684.33333333,262673.33333333,8973,5480.3333333333,0,7.3333333333333,1417429474.3333,1614.5833333333,95.333333333333,1604.3333333333,0,0,266.66666666667,0,167804.66666667,261264,0,-1,2753.3333333333,3244.7916666667,66.333333333333,0,315428,0,46512,-1,2475,0,0,1604.3333333333,0,280058.66666667,1,1.12,993.66666666667,9,13.333333333333,11,0,1.3333333333333,0,2,72,80,100,100,30.666666666667,100,100,100,100,-1,5,28.333333333333,1039.3333333333,
standardDeviation,141201_0_4AA,1417429494,84,0,0,null,82,49184,317,1455,0,0,9,348,3,277,0,0,0,0,21375,41094,0,0,360,318,1,0,100,0,0,0,268,0,0,277,0,47,0,0,92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,
median,141201_0_4AA,1417429494,429,0,0,null,363742,297539,9422,6820,0,7,1417429474,1687.5,93,1753,0,0,268,0,191543,224727,0,-1,2328,2953.125,67,0,315329,0,46512,-1,2098,0,0,1753,0,280040,1,"1.12",926,11,14,11,0,2,0,2,72,80,100,100,32,100,100,100,100,-1,5,28,979,
average,141115_0_49R,1416047312,927.66666666667,0,0,3,367151.33333333,301367,8992.3333333333,5688.3333333333,0,8,1416047288,3057.2916666667,100,2871.6666666667,0,0,276,0,115546,162640.66666667,0,-1,4303.6666666667,5984.375,93,0,318863,0,46512,-1,3472.6666666667,0,0,2871.6666666667,0,281427.66666667,1,1.12,1452.6666666667,9.3333333333333,13.333333333333,11,0,1.3333333333333,0,2,72,80,100,100,31.666666666667,100,100,100,100,-1,5,29,1367.3333333333,
standardDeviation,141115_0_49R,1416047312,271,0,0,null,53,39608,263,1275,0,1,12,472,0,591,0,0,0,0,27162,30748,0,0,1064,193,9,0,125,0,0,0,298,0,0,591,0,96,0,0,240,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,446,
median,141115_0_49R,1416047312,603,0,0,null,367173,300971,8846,6164,0,7,1416047303,3015.625,100,2872,0,0,276,0,118176,132644,0,-1,3710,5906.25,100,0,318995,0,46512,-1,3380,0,0,2872,0,281557,1,"1.12",1214,10,13,11,0,1,0,3,72,80,100,100,30,100,100,100,100,-1,5,30,791,
average,141102_0_95K,1414896903,614,0,0,3,366332.66666667,233439.66666667,9201,4211.3333333333,0,7.6666666666667,1414896880.3333,1734.375,97,1689,0,0,277.33333333333,0,129813.33333333,218911,0,-1,3470,3890.625,69,0,317998,0,46512,-1,3219.6666666667,0,0,1689,0,280987,1,1.12,1184,7.3333333333333,13.666666666667,11,0,1.6666666666667,0,2,72,80,100,100,31.333333333333,100,100,100,100,-1,5,28,1415,
standardDeviation,141102_0_95K,1414896903,73,0,0,null,87,26175,300,267,0,0,10,83,2,115,0,0,0,0,14027,16734,0,0,265,223,2,0,105,0,0,0,158,0,0,115,0,61,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,
median,141102_0_95K,1414896903,554,0,0,null,366277,251845,8776,3944,0,7,1414896893,1718.75,100,1617,0,0,276,0,130859,236919,0,-1,3353,3906.25,71,0,318099,0,46512,-1,3101,0,0,1617,0,281044,1,"1.12",1099,7,13,11,0,1,0,3,72,80,100,100,30,100,100,100,100,-1,5,29,1484,
average,141015_0_42A,1413369289,715,0,0,1,370046,279041,10288.5,6079.5,0,7.5,1413369239.5,2781.25,100,2644,0,0,282,0,112236.5,151449.5,0,-1,4016.5,4546.875,73.5,0,321259.5,0,46656,-1,3741,0,0,2644,0,282170.5,1,1.12,1245.5,10,14.5,12,0,1.5,0,2,66,81,100,100,29,100,100,100,100,-1,5,42,1563.5,
standardDeviation,141015_0_42A,1413369289,23,0,0,null,139,25163,327,1453,0,0,39,437,0,477,0,0,1,0,4122,26211,0,0,99,46,0,0,21,0,0,0,32,0,0,477,0,3,0,0,55,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,41,
median,141015_0_42A,1413369289,738,0,0,null,369907,253878,9961,4626,0,8,1413369279,2343.75,100,2167,0,0,281,0,116359,177661,0,-1,3917,4500,73,0,321238,0,46656,-1,3773,0,0,2167,0,282167,1,"1.12",1301,8,14,12,0,1,0,3,66,81,100,100,28,100,100,100,100,-1,5,51,1605,
average,141001_0_42C,1412158902,1518,0,0,2,366335.66666667,300359.66666667,9945,6838,0,9,1412158878,2083.3333333333,61.333333333333,3279.3333333333,0,0,272,0,101440,172853,0,-1,5136.6666666667,3135.4166666667,43,0,317467.66666667,0,46856,-1,3852,0,0,3279.3333333333,0,280711.33333333,1,1.12,1893.6666666667,11,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,185.66666666667,1629,
standardDeviation,141001_0_42C,1412158902,65,0,0,null,40,40,21,0,0,0,11,245,6,260,0,0,0,0,4503,20731,0,0,221,511,5,0,40,0,0,0,33,0,0,260,0,67,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,63,
median,141001_0_42C,1412158902,1515,0,0,null,366392,300416,9951,6838,0,8,1412158878,1812.5,53,3358,0,0,272,0,105436,163003,0,-1,4990,2609.375,37,0,317524,0,46856,-1,3812,0,0,3358,0,280680,1,"1.12",1889,11,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,188,1622,
average,140920_0_212,1411237327,461.66666666667,0,0,1,370073.66666667,269735.66666667,9961.6666666667,5950.3333333333,0,7.3333333333333,1411237306.6667,1817.7083333333,96.666666666667,1796,0,0,274,0,141823.33333333,211646.66666667,0,-1,3101.3333333333,3411.4583333333,64.666666666667,0,321490.66666667,0,46563,-1,2657.6666666667,0,0,1796,0,282511.33333333,1,1.12,959,9.6666666666667,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,28,1015.6666666667,
standardDeviation,140920_0_212,1411237327,63,0,0,null,802,49600,15,1281,0,0,8,463,1,451,0,0,0,0,14739,32414,0,0,350,438,3,0,802,0,0,0,105,0,0,451,0,75,0,0,172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,
median,140920_0_212,1411237327,399,0,0,null,371204,305695,9967,6857,0,7,1411237296,1734.375,95,1782,0,0,274,0,149498,221037,0,-1,2882,3093.75,61,0,322621,0,46563,-1,2653,0,0,1782,0,282613,1,"1.12",753,11,14,12,0,1,0,1,66,81,100,100,28,100,100,100,100,-1,5,28,789,
average,140902_0_92P,1409624425,524.66666666667,0,0,2,418764,385685.33333333,10517,7504,0,7.6666666666667,1409624402.6667,2369.7916666667,97.666666666667,2317.3333333333,0,0,273,0,170295.66666667,215882.33333333,0,-1,3033,3713.5416666667,71,0,326410,0,90313,-1,2988.6666666667,0,0,2317.3333333333,0,278158.66666667,1,1.12,1015.3333333333,11.666666666667,14.333333333333,12,0,1.3333333333333,0,2,66,81,100,100,28.666666666667,100,100,100,100,-1,5,28.666666666667,1086,
standardDeviation,140902_0_92P,1409624425,150,0,0,null,39,23013,337,384,0,0,9,218,2,117,0,0,0,0,22753,20172,0,0,343,671,9,0,81,0,0,0,457,0,0,117,0,35,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,
median,140902_0_92P,1409624425,432,0,0,null,418807,353139,10994,6960,0,8,1409624402,2500,99,2315,0,0,273,0,138265,187540,0,-1,3461,4140.625,73,0,326301,0,90313,-1,3123,0,0,2315,0,278153,1,"1.12",1077,11,15,12,0,2,0,2,66,81,100,100,30,100,100,100,100,-1,5,28,1200,
average,140815_0_918,1408125137,585.66666666667,0,0,1,418089.33333333,368732.66666667,10604.666666667,7248.6666666667,0,7,1408125115.3333,2807.2916666667,99,2636.3333333333,0,0,277,0,141791.66666667,182964.33333333,0,-1,3547.3333333333,4166.6666666667,72,0,329439.33333333,0,86686,-1,3055,0,0,2636.3333333333,0,280504.33333333,1,1.12,1149.3333333333,11.333333333333,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,30,1221,
standardDeviation,140815_0_918,1408125137,50,0,0,null,89,23111,37,362,0,0,10,389,0,369,0,0,2,0,9536,20243,0,0,180,295,2,0,89,0,0,0,240,0,0,369,0,81,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,166,
median,140815_0_918,1408125137,523,0,0,null,417981,352338,10603,6992,0,7,1408125103,2812.5,99,2500,0,0,279,0,131647,178218,0,-1,3698,4500,74,0,329331,0,86686,-1,3174,0,0,2500,0,280578,1,"1.12",1100,11,14,12,0,1,0,1,66,81,100,100,28,100,100,100,100,-1,5,29,1211,
average,140801_0_8JH,1406931836,597,0,0,1,421272.66666667,371916.66666667,10630.333333333,7258.3333333333,0,7,1406931811.6667,2807.2916666667,99,2722.3333333333,0,0,279,0,137074,178175.33333333,0,-1,3703.6666666667,4359.375,74.333333333333,0,332624.66666667,0,86686,-1,3204,0,0,2722.3333333333,0,283520,1,1.12,1067,11.333333333333,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,28.666666666667,1159.3333333333,
standardDeviation,140801_0_8JH,1406931836,99,0,0,null,47,23078,33,373,0,0,11,429,1,446,0,0,0,0,14448,20555,0,0,409,254,1,0,47,0,0,0,421,0,0,446,0,6,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,
median,140801_0_8JH,1406931836,553,0,0,null,421229,355587,10584,6994,0,7,1406931797,2593.75,97,2627,0,0,279,0,133258,171449,0,-1,3714,4203.125,72,0,332581,0,86686,-1,3608,0,0,2627,0,283528,1,"1.12",877,11,14,12,0,1,0,1,66,81,100,100,28,100,100,100,100,-1,5,30,909,
average,140715_F_9KHF,1405470078,591,0,0,1,420219,352746.5,10606.5,6260.5,0,8,1405469993,2484.375,100,2412.5,0,0,278,0,117523,212049,0,-1,4167.5,6007.8125,95.5,0,332026,0,86229,-1,3718,0,0,2412.5,0,283215.5,1,1.12,1177,10,14,12,0,1,0,1.5,66,81,100,100,28,100,100,100,100,-1,5,28,1349,
standardDeviation,140715_F_9KHF,1405470078,17,0,0,null,131,50819,0,1518,0,1,7,734,0,686,0,0,0,0,1820,50040,0,0,73,398,4,0,131,0,0,0,58,0,0,686,0,56,0,0,144,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,
median,140715_F_9KHF,1405470078,574,0,0,null,420088,301927,10607,4742,0,9,1405470000,1750,100,1726,0,0,278,0,119343,262089,0,-1,4094,5609.375,91,0,331895,0,86229,-1,3660,0,0,1726,0,283159,1,"1.12",1321,8,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,28,1625,
average,140701_0_42P,1404209960,903.33333333333,0,0,1,655538.66666667,569528.66666667,11107.666666667,6680,0,6.6666666666667,1404209929.3333,3046.875,95.666666666667,3063.6666666667,0,0,283,0,188322.33333333,328838.33333333,0,-1,4434.3333333333,5307.2916666667,80.666666666667,0,391098.66666667,0,262376,-1,6469.3333333333,0,0,3063.6666666667,0,339866,1,1.12,1323.6666666667,10.333333333333,14.333333333333,12,0,1.3333333333333,0,2,83,81,100,100,28.666666666667,100,100,100,100,-1,5,30.666666666667,1496.6666666667,
standardDeviation,140701_0_42P,1404209960,273,0,0,null,156,66425,355,1393,0,0,14,901,4,776,0,0,0,0,23077,146071,0,0,181,528,6,0,101,0,0,0,189,0,0,776,0,52,0,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,218,
median,140701_0_42P,1404209960,693,0,0,null,655708,589854,11610,7242,0,7,1404209912,2968.75,100,2919,0,0,283,0,179351,264983,0,-1,4349,5625,87,0,391116,0,262376,-1,6387,0,0,2919,0,339930,1,"1.12",1269,11,15,12,0,2,0,1,83,81,100,100,30,100,100,100,100,-1,5,33,1359,
average,140615_0_3ZK,1402827566,736.5,0,0,1,505219,488435,12246.5,9507,0,7.5,1402827512.5,3289.0625,97.5,3273,0,0,290,0,173571.5,195826.5,0,-1,3671.5,4195.3125,72.5,0,388451,0,113973,-1,5688,0,0,3273,0,339433.5,1,1.12,1247,14.5,16.5,14,0,1.5,0,2,78,76,100,100,31.5,100,100,100,100,-1,5,28,1311.5,
standardDeviation,140615_0_3ZK,1402827566,197,0,0,null,5,5,294,311,0,1,42,648,2,525,0,0,1,0,15788,25282,0,0,464,539,2,0,119,0,0,0,462,0,0,525,0,13,0,0,302,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,295,
median,140615_0_3ZK,1402827566,539,0,0,null,505214,488430,12541,9818,0,9,1402827555,2640.625,95,2748,0,0,291,0,189360,221109,0,-1,3207,3656.25,70,0,388332,0,113973,-1,5226,0,0,2748,0,339447,1,"1.12",945,15,17,14,0,2,0,3,78,76,100,100,32,100,100,100,100,-1,5,27,1016,
average,140601_0_3YK,1401617914,716.66666666667,0,0,2,474648,457864,10529.666666667,7887,0,7.3333333333333,1401617889.6667,2635.4166666667,98,2550,0,0,278,0,156149.33333333,257190,0,-1,3892.6666666667,4546.875,74.666666666667,0,386477,0,86229,-1,2991.6666666667,0,0,2550,0,338726.66666667,1,1.12,1144,12,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,30.666666666667,1218,
standardDeviation,140601_0_3YK,1401617914,79,0,0,null,80,80,11,0,0,0,10,245,1,219,0,0,0,0,32074,46300,0,0,636,841,5,0,80,0,0,0,255,0,0,219,0,155,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,198,
median,140601_0_3YK,1401617914,704,0,0,null,474702,457918,10513,7887,0,8,1401617889,2906.25,100,2694,0,0,278,0,117123,230109,0,-1,4757,5734.375,82,0,386531,0,86229,-1,3047,0,0,2694,0,338573,1,"1.12",1318,12,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,28,1476,
average,140515_0_3XH,1400149168,584.66666666667,0,0,3,477422.33333333,406529.66666667,10880,6991,0,7.6666666666667,1400123939.6667,3411.4583333333,99.333333333333,3106.3333333333,0,0,280.66666666667,0,122973,169225.66666667,0,-1,4584.6666666667,6432.2916666667,92.333333333333,0,389347.33333333,0,85980,-1,4013.6666666667,0,0,3106.3333333333,0,341610.33333333,1,1.12,1137.6666666667,11,14.666666666667,12,0,1.6666666666667,0,2,66,81,100,100,29,100,100,100,100,-1,5,29.333333333333,2039,
standardDeviation,140515_0_3XH,1400149168,57,0,0,null,284,76820,639,1686,0,0,13,523,0,712,0,0,0,0,20429,26439,0,0,661,446,2,0,76,0,0,0,310,0,0,712,0,25,0,0,121,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,998,
median,140515_0_3XH,1400149168,524,0,0,null,477821,461058,11784,8502,0,8,1400123956,3812.5,100,3522,0,0,282,0,96179,153788,0,-1,5492,7062.5,90,0,389442,0,85980,-1,4127,0,0,3522,0,341618,1,"1.12",1022,13,16,12,0,3,0,3,66,81,100,100,31,100,100,100,100,-1,5,29,1212,
average,140501_0_3VV,1398939434,615.33333333333,0,0,2,477667.66666667,429215.33333333,10621.333333333,7544.6666666667,0,7.3333333333333,1398914207,4156.25,100,3822.6666666667,0,0,279.66666666667,0,118539.33333333,136471,0,-1,4692.6666666667,6677.0833333333,94,0,389668.66666667,0,85980,-1,4169.3333333333,0,0,3822.6666666667,0,341522.33333333,1,1.12,1372.3333333333,11.666666666667,14.333333333333,12,0,1.3333333333333,0,2,66,81,100,100,28.666666666667,100,100,100,100,-1,5,28.333333333333,1453,
standardDeviation,140501_0_3VV,1398939434,42,0,0,null,604,22289,322,334,0,0,13,512,0,497,0,0,0,0,12917,19063,0,0,462,918,7,0,496,0,0,0,459,0,0,497,0,67,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,426,
median,140501_0_3VV,1398939434,669,0,0,null,477264,460729,10370,7836,0,7,1398914207,4437.5,100,4143,0,0,279,0,116150,132622,0,-1,4778,7078.125,100,0,389341,0,85980,-1,4535,0,0,4143,0,341613,1,"1.12",1246,12,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,30,1384,
average,140415_0_3TM,1397557085,606.66666666667,0,0,3,479158.33333333,446633,10233.666666667,7587.3333333333,0,7,1397531862,2833.3333333333,100,2688.3333333333,0,0,278,0,163317.33333333,215463,0,-1,3541.6666666667,5739.5833333333,100,0,391236.33333333,0,85980,-1,3177.3333333333,0,0,2688.3333333333,0,343244.33333333,1,1.12,1196.6666666667,11.666666666667,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,28.666666666667,1237.3333333333,
standardDeviation,140415_0_3TM,1397557085,84,0,0,null,109,22582,10,368,0,0,10,243,0,263,0,0,0,0,3190,12440,0,0,122,191,0,0,109,0,0,0,114,0,0,263,0,104,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,
median,140415_0_3TM,1397557085,536,0,0,null,479264,462729,10229,7848,0,7,1397531875,2609.375,100,2564,0,0,278,0,167809,228170,0,-1,3392,5468.75,100,0,391342,0,85980,-1,3071,0,0,2564,0,343388,1,"1.12",1022,12,14,12,0,1,0,3,66,81,100,100,28,100,100,100,100,-1,5,30,1073,
average,140401_0_3TG,1396347267,566.33333333333,0,0,2,484911.33333333,468048.33333333,9739,7202,0,6,1396322046.3333,3088.5416666667,98.333333333333,3035.6666666667,0,0,277,0,142191.33333333,201814.33333333,0,-1,4065,4151.0416666667,67,0,397332.33333333,0,85901,-1,3461,0,0,3035.6666666667,0,352540.33333333,1,1.12,973.33333333333,11,13.333333333333,11,0,1.3333333333333,0,2,72,80,100,100,30.666666666667,100,100,100,100,-1,5,27.666666666667,1017.6666666667,
standardDeviation,140401_0_3TG,1396347267,108,0,0,null,192,85,348,0,0,0,9,447,1,573,0,0,0,0,23886,46576,0,0,573,345,8,0,85,0,0,0,533,0,0,573,0,1,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,
median,140401_0_3TG,1396347267,518,0,0,null,484765,467978,9486,7202,0,6,1396322047,2828.125,100,2663,0,0,277,0,175958,218171,0,-1,3273,4109.375,75,0,397262,0,85901,-1,3240,0,0,2663,0,352539,1,"1.12",947,11,13,11,0,1,0,2,72,80,100,100,30,100,100,100,100,-1,5,27,976,
average,140315_0_3SA,1394878546,652.33333333333,0,0,1,524526,491849.66666667,10419.666666667,7723.3333333333,0,7,1394853322.6667,3020.8333333333,100,2916,0,0,282,0,147862,221362.66666667,0,-1,4463.3333333333,4479.1666666667,68.333333333333,0,430509,0,91999,-1,3690.3333333333,0,0,2916,0,387053,1,1.12,1174,11.666666666667,14.333333333333,12,0,1.3333333333333,0,2,66,81,100,100,28.666666666667,100,100,100,100,-1,5,30,1247.3333333333,
standardDeviation,140315_0_3SA,1394878546,184,0,0,null,153,22338,323,368,0,0,10,366,0,338,0,0,0,0,39339,35143,0,0,1141,695,2,0,62,0,0,0,754,0,0,338,0,96,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,177,
median,140315_0_3SA,1394878546,446,0,0,null,524485,460258,10169,7202,0,7,1394853310,2953.125,100,2916,0,0,282,0,142021,186339,0,-1,4139,4453.125,72,0,430544,0,91999,-1,3706,0,0,2916,0,387189,1,"1.12",1017,11,14,12,0,1,0,1,66,81,100,100,28,100,100,100,100,-1,5,28,1053,
average,140305_0_3ES,1394023422,438.5,0,0,2,551304.5,296576,10140.5,4608.5,0,8.5,1393994610,906.25,75.5,1151.5,0,0,282.5,0,288434.5,416466,0,-1,2360.5,2546.875,57,0,457091.5,0,92271,-1,1797,0,0,1151.5,0,412173.5,1,1.12,678.5,8,14,12,0,1,0,2.5,66,81,100,100,28,100,100,100,100,-1,5,28.5,792,
standardDeviation,140305_0_3ES,1394023422,48,0,0,null,20,7,7,11,0,0,5,140,6,73,0,0,0,0,21449,14593,0,0,191,515,9,0,20,0,0,0,148,0,0,73,0,13,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,
median,140305_0_3ES,1394023422,390,0,0,null,551284,296569,10148,4597,0,9,1393994605,765.625,69,1078,0,0,283,0,309884,431059,0,-1,2169,2031.25,48,0,457071,0,92271,-1,1649,0,0,1078,0,412160,1,"1.12",651,8,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,29,675,
average,140215_0_3QG,1392460863,406.33333333333,0,0,1,548254.66666667,358817,10150.333333333,5465,0,7.6666666666667,1392432049,968.75,82.666666666667,1129,0,0,280,0,305550.66666667,503929.33333333,0,-1,2247.6666666667,2239.5833333333,51.333333333333,0,454041.66666667,0,92271,-1,1694.6666666667,0,0,1129,0,409253.66666667,1,1.12,699.33333333333,9,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,27.333333333333,724.33333333333,
standardDeviation,140215_0_3QG,1392460863,44,0,0,null,22,90050,20,1245,0,0,6,165,1,180,0,0,0,0,48317,56424,0,0,284,382,5,0,22,0,0,0,159,0,0,180,0,8,0,0,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,
median,140215_0_3QG,1392460863,361,0,0,null,548227,295128,10122,4573,0,8,1392432041,843.75,81,1028,0,0,280,0,245511,442470,0,-1,2594,2703.125,58,0,454014,0,92271,-1,1856,0,0,1028,0,409248,1,"1.12",577,8,14,12,0,1,0,1,66,81,100,100,28,100,100,100,100,-1,5,28,600,
average,140201_0_3PD,1391249663,554.33333333333,0,0,1,616257.66666667,584153.66666667,10243.333333333,7611.3333333333,0,8,1391220838.3333,2812.5,99.333333333333,2741.6666666667,0,0,281,0,171507.66666667,267576,0,-1,4230.3333333333,4786.4583333333,75,0,460967.66666667,53272,153324,-1,3924,0,0,2741.6666666667,0,417339,1,1.12,1136.3333333333,11.333333333333,14,12,0,1,0,2,83,81,100,65,28,100,100,100,100,0,5,28.333333333333,1669,
standardDeviation,140201_0_3PD,1391249663,106,0,0,null,1698,19442,31,340,0,0,11,175,0,92,0,0,0,0,25549,16227,0,0,570,704,3,0,1698,0,0,0,611,0,0,92,0,1658,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,
median,140201_0_3PD,1391249663,639,0,0,null,615067,597541,10208,7438,0,8,1391220825,2765.625,100,2716,0,0,281,0,203462,287694,0,-1,3662,4250,74,0,459777,53272,153324,-1,3739,0,0,2716,0,416166,1,"1.12",1216,11,14,12,0,1,0,1,83,81,100,65,28,100,100,100,100,0,5,28,2677,
average,140115_0_3NS,1389781153,534.33333333333,0,0,2,545431.33333333,438141,10050.666666667,6594.3333333333,0,7.3333333333333,1389752332,2234.375,100,2153.6666666667,0,0,282,0,183256.33333333,287718,0,-1,3534.3333333333,5458.3333333333,96.333333333333,0,451525.33333333,0,91964,-1,3112.3333333333,0,0,2153.6666666667,0,407515.33333333,1,1.12,1007.3333333333,10.333333333333,14,12,0,1,0,2,66,81,100,100,28,100,100,100,100,-1,5,29,1082.3333333333,
standardDeviation,140115_0_3NS,1389781153,124,0,0,null,255,98209,26,1468,0,0,10,446,0,469,0,0,0,0,16786,47684,0,0,318,206,5,0,255,0,0,0,415,0,0,469,0,232,0,0,246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,
